id,input,output,source,letter,language,notes
313,Papo kwa papo kamba hukata jiwe,"In face of challenges, endure and eventually you will succeed.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
314,Pato kuu ni la Mungu apaye wawi na wema,"The main income comes from God, who blesses with kindness.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
315,"Pema ijapo pema, ukipema sana si pema tena","Even if something seems perfect, excessive perfection may lead to imperfection.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
316,Pembe za chaki,Private place.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
317,Penye nia pana njia,"Where there is a will, there is a way.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
318,Penye uchafu hapakosi nzi,"Where there is dirt, flies are not absent. i.e., A bad environment attracts undesirable elements.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
319,"Pilipili usiyoila yakuwashia nini? (Why are you bothered by the things that are not your own?) Pilipili iliyo shambani, yakuwashiani? (Why are you bothered by the things that haven’t happened?) Pitapita zake hazininyimi usingizi",I’m not bothered by their actions.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
320,Polepole ndiyo mwendo,"Slowly is the way to go. i.e., Patience is important.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
321,Punda haendi ila kwa mikwaju,Some people only respond to force.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,P,sw,
322,Radhi ni bora kuliko mali,Contentment is better than wealth.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,R,sw,
323,Rahisi haihalisi,"Easy is not always real. i.e., Easy come, easy go.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,R,sw,
324,"Samaki mkunje angali mbichi, akishakauka hakunjiki","Bend a fish while it’s still fresh; once it dries, it won’t bend.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
325,Samaki mmoja aki huoza wote wameoza,"If one fish rot in a backet, all are rotten.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
326,Shauku huondoa maarifa,Enthusiasm removes knowledge.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
327,Sheria ni msumeno hukata huku na huku,The law is a double-edged sword; it cuts both ways.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
328,Sheria ni msumeno hukata mbele na nyuma,The law is a double-edged sword; it cuts front and back.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
329,Shetani wa mtu ni mtu,A person’s devil is another person.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
330,Shibe ni mwana malevya na njaa ni mwana malegeza,"A full stomach makes you lazy, and hunger makes you active.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
331,Shukurani ya punda ni mateke,A donkey’s gratitude is a kick.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
332,Sikio la kufa halisikii dawa,Some people won’t accept advice.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
333,Siku njema huonekana asubuhi,"A good day is seen in the morning. i.e., A positive start leads to a good day.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
334,Siri ya mtungi aijuaye kata,You know nothing about something until you experience it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
335,Siri ya kaburi aijuaye maiti,"The secret of the grave is known by the dead. i.e., Some things are better left unknown.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
336,Sisimizi hawi ngombe,"An ant cannot become a cow. i.e., Know your limitations.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
337,Sitafuga ndwele na waganga tele,Don’t hide sickness yet there are doctors.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
338,Subira yavuta heri,"Patience attracts blessings. i.e., Good things come to those who wait.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,S,sw,
339,Taa haachi mwiba awe,One should be cautious even after achieving success.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,T,sw,
340,Tabia ya mtu kupenda mambo ya anasa na starehe,People have a habit of loving luxury and pleasure.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,T,sw,
341,Tikiti baya liko shambani mwako,You have your own problems to deal with.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,T,sw,
342,"Titi la mama li tamu, jingine haliishi hamu",Be satisfied with what you have.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,T,sw,
343,Tone na tone huwa mchirizi,Consistent efforts lead to success.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,T,sw,
344,Tupa jongoo na mti wake,Deal with a problem at its source.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,T,sw,
345,Turufu huenda kwa mchezaji,The one in control has the advantage.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,T,sw,
346,Ubaya hatima yake mbaya,"Evil, its end is bad.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
347,Ubishi chanzo cha mateto,Argument is the source of disputes.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
348,Uchungu wa mwana aujuaye mzazi,"Only the parent knows the pain of the child. i.e., Parents understand their children the best.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
349,Udogo wa kimo una mambo,"Short stature has its advantages. i.e., Small stature doesn’t limit potential.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
350,Ufukara hufanya mtu awe na udhalili moyoni,Poverty makes a person have humility in their heart.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
351,Uhalifu mwenenzi si wa mkazi milele,"A crime partner is not a permanent resident. i.e., Betrayal is inevitable.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
352,Uhenga hauambiwi maana,It is not wise to tell people the bad things they did in the past.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
353,Uislamu umemshinda fisi,A strong and righteous force prevails.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
354,Ujana ni moshi ukienda haurudi,"Youth is like smoke; once it’s gone, it doesn’t return. i.e., Make the most of your youth.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
355,Ujanja mwingi mbele giza,"Too much cunningness precedes darkness. i.e., Deceit can lead to downfall.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
356,Ukiiga tembo kunya utapasuka msamba,"If you imitate an elephant in popping, your rectum will tear. i.e., Know your limits.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
357,Uking’wafua mnofu ukumbuke na kuguguna mfupa,"If you slaughter fat, remember to gnaw on the bone. i.e., Make the most of what you have.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
358,Ukiona ambari na zinduna i papo,Recognize opportunities when they arise.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
359,"Ukiona ambari, zinduna ipapo","Where there’s something valuable, more is likely to be found.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
360,Ukiona vyaelea vimeundwa,Nothing happens without effort.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
361,Ukipenda chongo huita kengeza,People often mock what they desire.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
362,Ukistaajabu ya Musa utayaona ya firauni,"The more you see, the more you will be amazed.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
363,Ukitaja nyoka shika kigongo,"Be careful what you say, you might just be inviting trouble.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
364,Ukitaka kujua utamu wangoma ingia ucheze,"To know the taste of honey, you must taste it yourself.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
365,"Ukitaka kuruka, agana na nyonga","To fly, you must be prepared to take risks.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
366,Ukitaka riba sikio ziba,"If you don’t want to hear about something, just ignore it.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
367,Ukitenda wema usingoje kulipwa,Do good without expecting anything in return.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
368,Ukubwa ni jaa,Greatness is a burden.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
369,Ukubwa wa pua si wingi wa kamasi,Appearances can be deceiving.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
370,Ukuukuu wa kamba si upya wa ukambaa,Experience is more important than youth.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
371,Ukweli ukidhihiri uongo hujitenga,Truth will always prevail over lies.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
372,Ulimi hauna mfupa,Words can be very hurtful.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
373,Ulimwengu ni dhaifu siuoneni sheshe,"The world is fragile, treat it with care, don’t be attracted by passing things.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
374,Umoja ni nguvu utengano ni udhaifu,"Unity is strength, division is weakness.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
375,Upeo wa macho si mwisho wa dunia,There is always more to learn.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
376,Ushikwapo shikamana,"When things get tough, get tougher too.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
377,Usiache mbachao kwa msala upitao,Don’t give up on your dreams for something that is only temporary.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
378,Usidharau dafu embe ni tunda la msimu,Don’t underestimate someone or something just because they are not popular or fashionable.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
379,Usidharau kiserema chalima kuliko jembe zima,Don’t underestimate someone or something just because they are small or insignificant.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
380,Usicheze na simba ukamtia mkono kinywani,Don’t mess with someone who is stronger than you.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
381,"Usigombe na mkwezi, nazi imeliwa na mwezi",Don’t argue with someone who has done you no wrong.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
382,Usikate ubeleko mtoto kabla hajazaliwa,Don’t count your chickens before they hatch.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
383,Usimlaumu udobi kaniki ni rangi yake,Don’t blame someone for their natural characteristics.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
384,Usimwage mtama kwenye kuku wengi,Don’t waste your time or resources on something that is not worth it.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
385,Usinipake mafuta kwa mgongo wa chupa,Don’t treat me like a fool.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
386,Usinivishe kilemba cha ukoka,Don’t give me false hopes.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
387,Usione tanga la nguo ukasahau la myaa,Don’t focus on the small things and forget the big picture.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
388,Usipoziba ufa utajenga ukuta,"If you don’t fix a small problem, it will only get worse.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
389,Utajiri ni kivuli,Wealth is fleeting.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
390,Uuzohali ni nyumba ya njaa,Laziness leads to poverty.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
391,Uzuri wa mkakasi ndani kipande cha mti,Beauty can be outside but inside there is nothing.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
392,Uzuri wa mkakasi ukilowa maji basi,Don’t be deceived by outside beauty.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,U,sw,
393,"Vita vya panzi, furaha ya kunguru",A conflict between two weak parties benefits a third party.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,V,sw,
394,Vundo la kinyesi ni malazi ya paka/bata,Some find comfort in undesirable situations.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,V,sw,
395,Vunja dari uezeke paa,Invest in improvement and progress.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,V,sw,
396,Wanja wa manga si dawa ya chongo,A superficial solution is not a real solution.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,W,sw,
397,Waraka ni nusu ya kuonana,"Communication is important, even if it is not in person.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,W,sw,
398,Wema hauozi,Good deeds are always remembered,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,W,sw,
399,Werevu mwingi mbele giza,Being too clever can lead to trouble.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,W,sw,
400,Ya Kaizari mpe Kaizari na ya Mungu mpe Mungu,Give to Caesar what belongs to Caesar and to God what belongs to God.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,Y,sw,
401,Ya mgambo ikilia kuna jambo,A warning sign is a sign of danger.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,Y,sw,
402,Ya mkiwa haiiti na ikiita hupapata,"A poor man’s business has no profit, if it does is by lucky.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,Y,sw,
403,"Ya mkiwa haiiti, na ikiita hupapa","A poor man’s business has no profit, if it does is by lucky.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,Y,sw,
404,Yaliyompata peku na ungo yatampata,What happens to him may happen to you.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,Y,sw,
405,Yaliyopita si ndwele tugange yajayo,"Don’t dwell on the past, learn from it and move on.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,Y,sw,
406,Yaliyopita si uele tugange yajayo,"Don’t dwell on the past, learn from it and move on.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,Y,sw,
407,"Yuajifanya mawele, kujitia mitini, ili aambiwe naye yumo","Someone who tries to be something that he is not, in order to be accepted.",https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,Y,sw,
408,Zana za vita ni silaha,War is fought by weapons.,https://mhariri.com/kamusi/learn-swahili/proverbs-in-swahili-and-their-translations-and-meanings/,Z,sw,
